,seed,method,v,target_tree_size,rmse,mae
0,1,xgboost,0.005,1,7.647028996793108,4.919369844337526
1,1,xgboost_naive_transfer,0.005,1,7.846460741237155,5.660685373980433
2,1,xgboost,0.005,2,7.788246265292162,5.057024581650432
3,1,xgboost_naive_transfer,0.005,2,7.7816625739402046,5.612189021460552
4,1,xgboost,0.005,3,7.820851738723364,5.11114850904108
5,1,xgboost_naive_transfer,0.005,3,7.727983216380723,5.541418881398372
6,1,xgboost,0.005,4,8.074794403649646,5.4065151923276975
7,1,xgboost_naive_transfer,0.005,4,7.681292152134525,5.491500507434315
8,1,xgboost,0.005,5,8.171044238212753,5.467504131626008
9,1,xgboost_naive_transfer,0.005,5,7.667297430457736,5.470457093106212
10,1,xgboost,0.005,6,8.289595116813405,5.528555804581941
11,1,xgboost_naive_transfer,0.005,6,7.683501973642461,5.464653490501645
12,1,xgboost,0.005,7,8.378791297249837,5.604792740857952
13,1,xgboost_naive_transfer,0.005,7,7.633014792947045,5.426244966199133
14,1,xgboost,0.01,1,7.6356180677366545,4.904109798853514
15,1,xgboost_naive_transfer,0.01,1,7.823812905917062,5.663276240392274
16,1,xgboost,0.01,2,7.7865856611893305,5.049571518028942
17,1,xgboost_naive_transfer,0.01,2,7.780584432098104,5.614265635469339
18,1,xgboost,0.01,3,7.818728329656499,5.101633600370833
19,1,xgboost_naive_transfer,0.01,3,7.730886619483668,5.548483035144701
20,1,xgboost,0.01,4,8.05647287214474,5.339159828974314
21,1,xgboost_naive_transfer,0.01,4,7.682180671348947,5.4966608315834
22,1,xgboost,0.01,5,8.165763082221138,5.456134405203519
23,1,xgboost_naive_transfer,0.01,5,7.669754335289453,5.477777743105862
24,1,xgboost,0.01,6,8.272232517875919,5.47984358285872
25,1,xgboost_naive_transfer,0.01,6,7.68276079968193,5.471733040702492
26,1,xgboost,0.01,7,8.39081508733075,5.611421317565268
27,1,xgboost_naive_transfer,0.01,7,7.626754863726742,5.4191319310891695
28,1,xgboost,0.02,1,7.6159234036798305,4.875890475366155
29,1,xgboost_naive_transfer,0.02,1,7.828177008929416,5.665368562531631
30,1,xgboost,0.02,2,7.787028563476554,5.041941853623088
31,1,xgboost_naive_transfer,0.02,2,7.7834889503386515,5.6140338585506555
32,1,xgboost,0.02,3,7.847148334001576,5.137305681959584
33,1,xgboost_naive_transfer,0.02,3,7.734324440542221,5.559309772341413
34,1,xgboost,0.02,4,8.07311819592239,5.3719125237151975
35,1,xgboost_naive_transfer,0.02,4,7.683963540263561,5.515250725928456
36,1,xgboost,0.02,5,8.147183207518255,5.420635010688042
37,1,xgboost_naive_transfer,0.02,5,7.672978436859097,5.4925698171161095
38,1,xgboost,0.02,6,8.260796898911899,5.454811227706963
39,1,xgboost_naive_transfer,0.02,6,7.685700733478457,5.485656202930105
40,1,xgboost,0.02,7,8.349718268805345,5.561276125417602
41,1,xgboost_naive_transfer,0.02,7,7.639483458321241,5.452574809295157
42,1,xgboost,0.03,1,7.620574887877434,4.879880930647811
43,1,xgboost_naive_transfer,0.03,1,7.810318376509677,5.660155867483253
44,1,xgboost,0.03,2,7.779341269419829,5.034021774442665
45,1,xgboost_naive_transfer,0.03,2,7.7742147436904485,5.617765591144545
46,1,xgboost,0.03,3,7.8395538736452135,5.115564647093497
47,1,xgboost_naive_transfer,0.03,3,7.740659531983495,5.570882048777743
48,1,xgboost,0.03,4,8.072800715304789,5.387166450329373
49,1,xgboost_naive_transfer,0.03,4,7.693787622238315,5.535385699416216
50,1,xgboost,0.03,5,8.150992188860538,5.401128102419515
51,1,xgboost_naive_transfer,0.03,5,7.696480229042665,5.531933862390384
52,1,xgboost,0.03,6,8.270098785275161,5.461665063890606
53,1,xgboost_naive_transfer,0.03,6,7.695923919214972,5.5139259169891
54,1,xgboost,0.03,7,8.358530225027948,5.578570490927571
55,1,xgboost_naive_transfer,0.03,7,7.6591992838041305,5.459371674979376
56,1,xgboost,0.05,1,7.613043462595629,4.870070379770181
57,1,xgboost_naive_transfer,0.05,1,7.812827513864519,5.66269700322857
58,1,xgboost,0.05,2,7.785702186925038,5.030709164046607
59,1,xgboost_naive_transfer,0.05,2,7.771524525322749,5.631069996287497
60,1,xgboost,0.05,3,7.849783258307329,5.108127358309724
61,1,xgboost_naive_transfer,0.05,3,7.7587539274870485,5.590584053128677
62,1,xgboost,0.05,4,8.053808247718377,5.336059131163624
63,1,xgboost_naive_transfer,0.05,4,7.705949212097177,5.549105737119089
64,1,xgboost,0.05,5,8.125825610142304,5.367898842746067
65,1,xgboost_naive_transfer,0.05,5,7.6962021769421805,5.536181571451037
66,1,xgboost,0.05,6,8.291518925835371,5.474322119746283
67,1,xgboost_naive_transfer,0.05,6,7.696671823445649,5.518767706677238
68,1,xgboost,0.05,7,8.335973494041564,5.546840982010521
69,1,xgboost_naive_transfer,0.05,7,7.678903000565927,5.490489485203164
70,1,xgboost,0.08,1,7.610917575643546,4.865735674340344
71,1,xgboost_naive_transfer,0.08,1,7.805327195913115,5.661157392998911
72,1,xgboost,0.08,2,7.757650254088661,4.996316016314917
73,1,xgboost_naive_transfer,0.08,2,7.780470870029766,5.6427821543376595
74,1,xgboost,0.08,3,7.846011880688496,5.076705716609751
75,1,xgboost_naive_transfer,0.08,3,7.769900108518867,5.613702209351327
76,1,xgboost,0.08,4,8.03082289263212,5.308598322648433
77,1,xgboost_naive_transfer,0.08,4,7.727937822936547,5.593493580692607
78,1,xgboost,0.08,5,8.186126287193861,5.43122868178066
79,1,xgboost_naive_transfer,0.08,5,7.727048838812191,5.567216729189937
80,1,xgboost,0.08,6,8.279609208919597,5.432808020340418
81,1,xgboost_naive_transfer,0.08,6,7.763902275339267,5.574867821227833
82,1,xgboost,0.08,7,8.369613761239979,5.5795471703813355
