seed,learning_rate,dropout,d_main,num_blocks,val_rmse_scaled,val_mae_scaled,val_rmse_raw,val_mae_raw,test_rmse_scaled,test_mae_scaled,test_rmse_raw,test_mae_raw
860.0,0.0001,0.0,64.0,3.0,0.44910359382629395,0.33950749039649963,6.484711170196533,4.902227878570557,0.40821680426597595,0.3268478214740753,5.8943376541137695,4.719432353973389
861.0,0.0001,0.0,64.0,3.0,0.6352243423461914,0.40892496705055237,8.869513511657715,5.7097392082214355,0.4066625237464905,0.30699262022972107,5.678149700164795,4.286478042602539
862.0,0.0001,0.0,64.0,3.0,0.7130928039550781,0.4688607156276703,9.196537017822266,6.046751022338867,0.5676190853118896,0.39736208319664,7.320407390594482,5.124655246734619
863.0,0.0001,0.0,64.0,3.0,0.5278967618942261,0.3937284052371979,6.618584632873535,4.936429023742676,2.7298786640167236,0.8800115585327148,34.226261138916016,11.033276557922363
864.0,0.0001,0.0,64.0,3.0,0.5512098670005798,0.4413570463657379,7.665288925170898,6.1376423835754395,0.5503078699111938,0.39941930770874023,7.652744770050049,5.554443836212158
865.0,0.0001,0.0,64.0,3.0,1.2330971956253052,0.583720862865448,16.027761459350586,7.587186813354492,0.4307957589626312,0.33115482330322266,5.599470615386963,4.304340362548828
866.0,0.0001,0.0,64.0,3.0,0.43408074975013733,0.3200007677078247,5.719298362731934,4.216219902038574,0.4721757471561432,0.3665860593318939,6.221225738525391,4.830011367797852
867.0,0.0001,0.0,64.0,3.0,0.45352816581726074,0.3115309774875641,5.430636882781982,3.7303335666656494,3.655164957046509,1.0255016088485718,43.76766586303711,12.279560089111328
868.0,0.0001,0.0,64.0,3.0,0.5388801097869873,0.40620216727256775,7.443201065063477,5.610605716705322,0.5502070784568787,0.3766396939754486,7.599653244018555,5.202279090881348
869.0,0.0001,0.0,64.0,3.0,0.6417065262794495,0.442983478307724,8.639141082763672,5.963779449462891,0.5302033424377441,0.385223388671875,7.13800048828125,5.18617057800293
870.0,0.0001,0.0,64.0,3.0,0.540372371673584,0.3878098428249359,7.2560858726501465,5.207485675811768,1.2163598537445068,0.49433907866477966,16.33320426940918,6.637953281402588
871.0,0.0001,0.0,64.0,3.0,0.51893150806427,0.36380037665367126,7.269474506378174,5.0963134765625,0.48057475686073303,0.37617671489715576,6.732151508331299,5.269687175750732
872.0,0.0001,0.0,64.0,3.0,0.5391294360160828,0.39523664116859436,7.045837879180908,5.1653151512146,1.6119122505187988,0.5429680347442627,21.065946578979492,7.096004486083984
873.0,0.0001,0.0,64.0,3.0,0.7301911115646362,0.4284055233001709,9.875529289245605,5.794005870819092,0.5341103672981262,0.3872487545013428,7.223618984222412,5.237376689910889
874.0,0.0001,0.0,64.0,3.0,0.48619621992111206,0.3686898648738861,6.991333484649658,5.301631450653076,0.4771791696548462,0.35544267296791077,6.86167049407959,5.111142158508301
875.0,0.0001,0.0,64.0,3.0,0.3791138827800751,0.2874491214752197,5.232356071472168,3.967241048812866,0.6109582781791687,0.4116990864276886,8.43216609954834,5.682081699371338
876.0,0.0001,0.0,64.0,3.0,0.3832739293575287,0.29230764508247375,5.142098903656006,3.9216721057891846,0.7231588363647461,0.45112788677215576,9.702079772949219,6.0524444580078125
877.0,0.0001,0.0,64.0,3.0,0.44696852564811707,0.37844011187553406,5.96232271194458,5.048189640045166,2.258121967315674,0.7076468467712402,30.12214469909668,9.4396333694458
878.0,0.0001,0.0,64.0,3.0,0.714858889579773,0.4621044099330902,9.745880126953125,6.3000054359436035,0.5325379967689514,0.3775947093963623,7.260246276855469,5.1478590965271
879.0,0.0001,0.0,64.0,3.0,1.1137973070144653,0.5709109902381897,14.057669639587402,7.205688953399658,0.7024022340774536,0.5212258696556091,8.865291595458984,6.578594207763672
880.0,0.0001,0.0,64.0,3.0,0.3779439330101013,0.28009793162345886,5.2621307373046875,3.8998167514801025,0.6133326888084412,0.45066213607788086,8.539459228515625,6.274589538574219
881.0,0.0001,0.0,64.0,3.0,0.5970306992530823,0.46367084980010986,8.42668628692627,6.5444016456604,0.7195704579353333,0.5167787075042725,10.156251907348633,7.293983459472656
882.0,0.0001,0.0,64.0,3.0,0.5392172932624817,0.44445517659187317,7.283707141876221,6.003668308258057,0.5594250559806824,0.432443231344223,7.556672096252441,5.841411113739014
883.0,0.0001,0.0,64.0,3.0,0.7190983891487122,0.4778395891189575,9.443880081176758,6.275441646575928,0.5265253782272339,0.36992403864860535,6.914829254150391,4.858191967010498
884.0,0.0001,0.0,64.0,3.0,0.5348779559135437,0.3882022798061371,7.443044185638428,5.401992321014404,0.6249035596847534,0.4805239737033844,8.69578742980957,6.686686038970947
885.0,0.0001,0.0,64.0,3.0,0.6491710543632507,0.44757699966430664,8.22229290008545,5.668936252593994,1.4847911596298218,0.547968327999115,18.80611801147461,6.940475940704346
886.0,0.0001,0.0,64.0,3.0,0.6190540194511414,0.45419076085090637,8.332226753234863,6.113231182098389,0.5407224893569946,0.4178433120250702,7.277914524078369,5.6240081787109375
887.0,0.0001,0.0,64.0,3.0,2.4453978538513184,0.7114645838737488,32.86711502075195,9.562363624572754,0.5050987005233765,0.39327213168144226,6.788724422454834,5.285731792449951
888.0,0.0001,0.0,64.0,3.0,0.4962194561958313,0.35595667362213135,6.797276496887207,4.875938892364502,0.48416802287101746,0.38717469573020935,6.632194519042969,5.303567409515381
889.0,0.0001,0.0,64.0,3.0,0.5692406892776489,0.39507612586021423,7.946292877197266,5.515049457550049,0.5199028849601746,0.34365713596343994,7.25756311416626,4.797268390655518
