,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,50,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1000,1.7017356017243561,1.3282299005744689,1.758690867552585,1.390446276596523
1,50,1,LADTransferTreeBoost,0.05,1,1,0.01,0.5,1000,1.5443732041863163,1.2043680612374226,1.631603409981674,1.2772938975787316
2,50,1,MTransferTreeBoost,0.05,1,1,0.01,0.5,1000,1.8506527011806817,1.4379343260602093,1.9290034338909707,1.4909460465911997
3,50,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1000,1.6557794592344888,1.286625069695433,1.707733529123435,1.351330533774586
4,50,1,LADTransferTreeBoost,0.05,1,1,0.01,0.9,1000,1.9491248789369784,1.5751186545173024,2.009297596328689,1.6374033164257784
5,50,1,MTransferTreeBoost,0.05,1,1,0.01,0.9,1000,2.0237920241070975,1.5717811538668038,2.1080874400799607,1.6384300011200061
6,50,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1000,1.7374334332582293,1.3623073858066028,1.7926648010748056,1.417786286661731
7,50,1,LADTransferTreeBoost,0.05,1,1,0.05,0.5,1000,2.6796627209425434,2.200870435729469,2.758467205746275,2.2692411517824516
8,50,1,MTransferTreeBoost,0.05,1,1,0.05,0.5,1000,1.8461953917859424,1.4338468608694215,1.9324548268992554,1.4923084714204664
9,50,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1000,1.7474988787554135,1.3705904394627824,1.8056378810707356,1.4248181469704322
10,50,1,LADTransferTreeBoost,0.05,1,1,0.05,0.9,1000,1.7174519025461457,1.3706653565556075,1.8110775952398355,1.4590943317060838
11,50,1,MTransferTreeBoost,0.05,1,1,0.05,0.9,1000,1.9638708290581905,1.5199965035293679,2.0514714263632783,1.5811608433538544
12,50,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1000,1.813321717794632,1.4193351989292375,1.8433618650506138,1.4331966772452647
13,50,1,LADTransferTreeBoost,0.05,1,2,0.01,0.5,1000,1.3224806694347684,1.023023815175779,1.375734716247916,1.075323798306571
14,50,1,MTransferTreeBoost,0.05,1,2,0.01,0.5,1000,1.8536191984601749,1.4247332196059228,1.914333834084422,1.4648707516773323
15,50,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1000,1.7217424983809517,1.3346580964128303,1.737833194604175,1.365613229953495
16,50,1,LADTransferTreeBoost,0.05,1,2,0.01,0.9,1000,1.5848983435357762,1.2130577263571054,1.6571300772086461,1.2943245954830163
17,50,1,MTransferTreeBoost,0.05,1,2,0.01,0.9,1000,1.6172081168197796,1.2469881833348504,1.6356275016528805,1.2522874839441316
18,50,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1000,1.805746929778953,1.4130602351060213,1.8424886681106776,1.4399451499724647
19,50,1,LADTransferTreeBoost,0.05,1,2,0.05,0.5,1000,1.3199775937312976,1.0209920043418894,1.359750913047341,1.0593576571087377
20,50,1,MTransferTreeBoost,0.05,1,2,0.05,0.5,1000,1.5378974455454457,1.187464703221369,1.5793573025921526,1.2098964432370165
21,50,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1000,1.7966074427217222,1.4035771355674374,1.8266214358909796,1.432641185051296
22,50,1,LADTransferTreeBoost,0.05,1,2,0.05,0.9,1000,1.4341562710880336,1.111401707093618,1.4736934897543201,1.1484398172816523
23,50,1,MTransferTreeBoost,0.05,1,2,0.05,0.9,1000,1.5275876948564746,1.1848383924767492,1.5419479060145127,1.1800510500051782
24,50,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1000,1.5505822505755986,1.1994667102141208,1.571204704783185,1.231432775840183
25,50,1,LADTransferTreeBoost,0.05,2,1,0.01,0.5,1000,1.758075241735306,1.3473337746453593,1.8102661219438496,1.3967434210315364
26,50,1,MTransferTreeBoost,0.05,2,1,0.01,0.5,1000,1.8046438514978245,1.3902345854314493,1.8600434830186598,1.439110312741231
27,50,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1000,1.466474503331664,1.1234114444249585,1.4712077053609658,1.146280368780063
28,50,1,LADTransferTreeBoost,0.05,2,1,0.01,0.9,1000,1.2781478741725703,0.9895886211195881,1.3028907797098834,1.0201900950810738
29,50,1,MTransferTreeBoost,0.05,2,1,0.01,0.9,1000,1.5275385673824011,1.1450749925056838,1.6036421900267441,1.2121710201364913
30,50,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1000,1.8205837571704484,1.4403446650621277,1.8826720981094767,1.499377174270651
31,50,1,LADTransferTreeBoost,0.05,2,1,0.05,0.5,1000,2.5944047823229206,1.9951839830119953,2.694965750433201,2.091511011745866
32,50,1,MTransferTreeBoost,0.05,2,1,0.05,0.5,1000,1.9945273296960417,1.5495141845258233,2.05653746019851,1.605171127499496
33,50,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1000,1.7262396217995712,1.3600524340230846,1.7891053547659697,1.4205304035960087
34,50,1,LADTransferTreeBoost,0.05,2,1,0.05,0.9,1000,2.5173104504274644,1.9560813846265268,2.6061120899814085,2.0408057862525766
35,50,1,MTransferTreeBoost,0.05,2,1,0.05,0.9,1000,1.7753184039798449,1.3773942698549588,1.8476884827136495,1.434939203006283
36,50,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1000,1.6544180450274693,1.282374299341457,1.695598019121686,1.3278120580936725
37,50,1,LADTransferTreeBoost,0.05,2,2,0.01,0.5,1000,1.2866619197272955,0.9915562306014736,1.3341154387596137,1.0372104695771172
38,50,1,MTransferTreeBoost,0.05,2,2,0.01,0.5,1000,1.674868122816481,1.29728200114822,1.688016998825042,1.287529457084344
39,50,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1000,1.6170855558287156,1.249671501993748,1.6292825499410462,1.2782758647086312
40,50,1,LADTransferTreeBoost,0.05,2,2,0.01,0.9,1000,1.0983795512174328,0.8300979722510005,1.1609760041951904,0.9095377525537347
41,50,1,MTransferTreeBoost,0.05,2,2,0.01,0.9,1000,1.5968802238975506,1.2433648162452748,1.5903438333493118,1.2175671629670224
42,50,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1000,1.7769161566016523,1.3892593150856574,1.8088805708436846,1.4159182171656002
43,50,1,LADTransferTreeBoost,0.05,2,2,0.05,0.5,1000,1.3050056911425734,1.0153107471236364,1.3448204019353176,1.055924237570755
44,50,1,MTransferTreeBoost,0.05,2,2,0.05,0.5,1000,1.8497532601232722,1.4427706624707899,1.8865095941465375,1.449707174880817
