,seed,target_instances,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,85,100,3,LSTransferTreeBoost,0.05,1,1,0.0,0.1,400,1.7813063512927247,1.3857626438084634,1.912110186253899,1.4937770528308423
1,85,100,3,LADTransferTreeBoost,0.05,1,1,0.0,0.1,400,1.9157632484624816,1.5036929487041497,1.930726885139446,1.5479505392424244
2,85,100,3,MTransferTreeBoost,0.05,1,1,0.0,0.1,400,1.5109301504597732,1.1809180588078565,1.601400372430774,1.256640097740399
3,85,100,3,LSTransferTreeBoost,0.05,1,1,0.0,0.5,400,1.6886783965038294,1.3133596132853835,1.7588449129571777,1.3803763013738812
4,85,100,3,LADTransferTreeBoost,0.05,1,1,0.0,0.5,400,2.252576225405284,1.7562825569471756,2.230519748024568,1.7826505142654678
5,85,100,3,MTransferTreeBoost,0.05,1,1,0.0,0.5,400,1.662918246018675,1.2931597878661487,1.6826697821719747,1.3281120519752918
6,85,100,3,LSTransferTreeBoost,0.05,1,1,0.0,0.9,400,2.802022455230487,2.2003690476204643,2.7689146487539187,2.206750305671448
7,85,100,3,LADTransferTreeBoost,0.05,1,1,0.0,0.9,400,4.208510964987904,3.352895426606833,4.159404609398491,3.330324689561748
8,85,100,3,MTransferTreeBoost,0.05,1,1,0.0,0.9,400,2.8141271579996485,2.229623702454365,2.779549907047243,2.227263604278981
9,85,100,3,LSTransferTreeBoost,0.05,1,1,0.01,0.1,400,1.9015117324423605,1.4927907779383882,2.0347009231642628,1.602748747761645
10,85,100,3,LADTransferTreeBoost,0.05,1,1,0.01,0.1,400,1.9359536591281132,1.5426369144780887,1.9686185734341337,1.5984495139156694
11,85,100,3,MTransferTreeBoost,0.05,1,1,0.01,0.1,400,1.568299935444234,1.237212471354722,1.6523984374325353,1.3059452964584397
12,85,100,3,LSTransferTreeBoost,0.05,1,1,0.01,0.5,400,1.690042180750853,1.3064787701977525,1.7945222667738345,1.4014337170113753
13,85,100,3,LADTransferTreeBoost,0.05,1,1,0.01,0.5,400,2.181671446713314,1.699811794334496,2.1640099824751178,1.7343676384514912
14,85,100,3,MTransferTreeBoost,0.05,1,1,0.01,0.5,400,1.523952578606831,1.1869897678404913,1.578162022621542,1.2488256519082583
15,85,100,3,LSTransferTreeBoost,0.05,1,1,0.01,0.9,400,1.705952213691531,1.3156652613994857,1.7831815196185066,1.3895884111438257
16,85,100,3,LADTransferTreeBoost,0.05,1,1,0.01,0.9,400,2.142768091921943,1.6595586825036635,2.1098246556859985,1.680440110626555
17,85,100,3,MTransferTreeBoost,0.05,1,1,0.01,0.9,400,1.5170949348529816,1.1822150825593258,1.5538859193562762,1.2310079950237043
18,85,100,3,LSTransferTreeBoost,0.05,1,1,0.05,0.1,400,1.8886102506356701,1.4880303228138971,2.033545661379182,1.603799745589524
19,85,100,3,LADTransferTreeBoost,0.05,1,1,0.05,0.1,400,2.453066003712777,1.9494172430630379,2.4552237114504756,2.0020998095874423
20,85,100,3,MTransferTreeBoost,0.05,1,1,0.05,0.1,400,1.5407754416509467,1.2125173854064055,1.6289929047214828,1.2821697862453616
21,85,100,3,LSTransferTreeBoost,0.05,1,1,0.05,0.5,400,1.7407182134041075,1.3684698422886772,1.8977568822687547,1.489805478820415
22,85,100,3,LADTransferTreeBoost,0.05,1,1,0.05,0.5,400,2.3734515278039963,1.877717199893993,2.3727718832365925,1.9155746402730898
23,85,100,3,MTransferTreeBoost,0.05,1,1,0.05,0.5,400,1.548016844509905,1.2169451914022944,1.6273259782397531,1.2874803069243734
24,85,100,3,LSTransferTreeBoost,0.05,1,1,0.05,0.9,400,1.7631367343244853,1.3782190163410344,1.9007304164328627,1.4873467291617504
25,85,100,3,LADTransferTreeBoost,0.05,1,1,0.05,0.9,400,2.1609951740237885,1.7004307045910654,2.169463006189349,1.7473951979377211
26,85,100,3,MTransferTreeBoost,0.05,1,1,0.05,0.9,400,1.5397563220872548,1.2124603913329302,1.615652008632083,1.2804437552648222
27,85,100,3,LSTransferTreeBoost,0.05,1,2,0.0,0.1,400,1.897681937753519,1.4981927193946938,2.0333973977002304,1.6069763976586546
28,85,100,3,LADTransferTreeBoost,0.05,1,2,0.0,0.1,400,2.158310768911611,1.6521425386151984,2.187894492751343,1.7212315043375819
29,85,100,3,MTransferTreeBoost,0.05,1,2,0.0,0.1,400,1.6062718483172076,1.245188113340303,1.673470391997806,1.324786073275799
30,85,100,3,LSTransferTreeBoost,0.05,1,2,0.0,0.5,400,1.7844683005172108,1.3854157293154585,1.8400880823356573,1.450504804694091
31,85,100,3,LADTransferTreeBoost,0.05,1,2,0.0,0.5,400,2.111653919486192,1.620736448476643,2.096342657661977,1.6473377582027593
32,85,100,3,MTransferTreeBoost,0.05,1,2,0.0,0.5,400,1.566315116498456,1.1998586706047343,1.581017234937184,1.2491230778631481
33,85,100,3,LSTransferTreeBoost,0.05,1,2,0.0,0.9,400,2.319592576732896,1.8039684937427578,2.3280153466910174,1.8401977260348077
34,85,100,3,LADTransferTreeBoost,0.05,1,2,0.0,0.9,400,3.512168907927941,2.766887256301321,3.4743280981693663,2.7529954192914254
35,85,100,3,MTransferTreeBoost,0.05,1,2,0.0,0.9,400,2.3195532005939907,1.822895651064265,2.3054836703319257,1.8483878276648684
