seed,learning_rate,dropout,d_main,num_blocks,val_rmse_scaled,val_mae_scaled,val_rmse_raw,val_mae_raw,test_rmse_scaled,test_mae_scaled,test_rmse_raw,test_mae_raw
860.0,0.0001,0.0,64.0,3.0,0.4016802906990051,0.33343276381492615,5.799954891204834,4.814512729644775,0.41424107551574707,0.31503555178642273,5.9813232421875,4.5488715171813965
861.0,0.0001,0.0,64.0,3.0,0.5905640125274658,0.40075254440307617,8.245929718017578,5.5956292152404785,0.42062461376190186,0.34055617451667786,5.873099327087402,4.755119800567627
862.0,0.0001,0.0,64.0,3.0,0.7412879467010498,0.5069931149482727,9.560160636901855,6.538533687591553,2.05043888092041,0.6838483810424805,26.443876266479492,8.819380760192871
863.0,0.0001,0.0,64.0,3.0,0.5441733598709106,0.41777920722961426,6.822654724121094,5.237969875335693,1.7033575773239136,0.6396805047988892,21.35610008239746,8.02009105682373
864.0,0.0001,0.0,64.0,3.0,0.48606932163238525,0.384411484003067,6.759424686431885,5.345740795135498,0.5413196682929993,0.40819382667541504,7.527752876281738,5.676464557647705
865.0,0.0001,0.0,64.0,3.0,1.719706654548645,0.7323613166809082,22.352697372436523,9.519210815429688,0.44152727723121643,0.3550686836242676,5.738958835601807,4.615171909332275
866.0,0.0001,0.0,64.0,3.0,0.39069950580596924,0.2995305061340332,5.147722244262695,3.9465110301971436,0.5097891688346863,0.39165839552879333,6.716806888580322,5.160356521606445
867.0,0.0001,0.0,64.0,3.0,0.4333430230617523,0.34726881980895996,5.188935279846191,4.158265590667725,2.0444695949554443,0.7987570762634277,24.48088264465332,9.564475059509277
868.0,0.0001,0.0,64.0,3.0,0.5173432230949402,0.3841651678085327,7.145725727081299,5.306223392486572,0.5585367679595947,0.3878669738769531,7.714705467224121,5.357354640960693
869.0,0.0001,0.0,64.0,3.0,0.6613473296165466,0.4623403549194336,8.903560638427734,6.224377155303955,0.4675633907318115,0.381223201751709,6.294693946838379,5.132317066192627
870.0,0.0001,0.0,64.0,3.0,0.5707337260246277,0.38521742820739746,7.66377592086792,5.172674655914307,2.5058815479278564,0.7092459797859192,33.64882278442383,9.523711204528809
871.0,0.0001,0.0,64.0,3.0,0.5128617882728577,0.39455652236938477,7.184446334838867,5.527162075042725,0.5167135000228882,0.4190557897090912,7.238402843475342,5.870359897613525
872.0,0.0001,0.0,64.0,3.0,0.5901897549629211,0.42422857880592346,7.713141441345215,5.544208526611328,2.446058511734009,0.7078008055686951,31.967336654663086,9.250190734863281
873.0,0.0001,0.0,64.0,3.0,0.6200463771820068,0.38259491324424744,8.385868072509766,5.174436092376709,0.5350256562232971,0.39966917037963867,7.235997676849365,5.405357837677002
874.0,0.0001,0.0,64.0,3.0,0.48738569021224976,0.35643649101257324,7.008437156677246,5.12543249130249,0.42294391989707947,0.3011229932308197,6.081786632537842,4.330043792724609
875.0,0.0001,0.0,64.0,3.0,0.4529639184474945,0.366886705160141,6.25160026550293,5.063601970672607,0.6792219281196594,0.4431234896183014,9.374309539794922,6.115787506103516
876.0,0.0001,0.0,64.0,3.0,0.42739662528038025,0.3381391763687134,5.734059810638428,4.536559581756592,0.77752286195755,0.5073664784431458,10.431441307067871,6.806955814361572
877.0,0.0001,0.0,64.0,3.0,0.39445459842681885,0.32602426409721375,5.261815071105957,4.348990440368652,0.8313084244728088,0.5491276383399963,11.089211463928223,7.325070858001709
878.0,0.0001,0.0,64.0,3.0,0.7562217116355896,0.4879911243915558,10.309791564941406,6.652925968170166,0.5093136429786682,0.36182770133018494,6.943622589111328,4.932902812957764
879.0,0.0001,0.0,64.0,3.0,1.2298855781555176,0.499093621969223,15.522865295410156,6.299254894256592,0.6999605894088745,0.5078940987586975,8.834474563598633,6.410329341888428
880.0,0.0001,0.0,64.0,3.0,0.3873412311077118,0.3050733804702759,5.392969608306885,4.247550964355469,0.5789114832878113,0.43044623732566833,8.060211181640625,5.993122100830078
881.0,0.0001,0.0,64.0,3.0,0.5826542377471924,0.43911293148994446,8.223772048950195,6.19778299331665,0.6825078129768372,0.39466413855552673,9.633137702941895,5.570418834686279
882.0,0.0001,0.0,64.0,3.0,0.5005373358726501,0.3898341655731201,6.761220932006836,5.2658514976501465,0.43398818373680115,0.3498334586620331,5.862280368804932,4.725524425506592
883.0,0.0001,0.0,64.0,3.0,0.6938965916633606,0.4728974401950836,9.112906455993652,6.210536956787109,0.5070263743400574,0.35029229521751404,6.658749580383301,4.600369453430176
884.0,0.0001,0.0,64.0,3.0,0.5037561655044556,0.3536945879459381,7.009972095489502,4.921804428100586,0.5775243043899536,0.44946932792663574,8.036484718322754,6.2545485496521
885.0,0.0001,0.0,64.0,3.0,0.5877969264984131,0.4010902941226959,7.4449381828308105,5.080142498016357,1.275482416152954,0.5157049298286438,16.155048370361328,6.531833648681641
