seed,learning_rate,dropout,d_main,num_blocks,val_rmse,val_mae,rmse,mae
860.0,0.001,0.0,64.0,2.0,3.4846038818359375,2.355311632156372,2.8938841819763184,2.3149452209472656
860.0,0.001,0.0,64.0,3.0,3.328538417816162,1.9635814428329468,2.9586567878723145,2.4878463745117188
860.0,0.001,0.0,64.0,4.0,3.383037567138672,2.322026014328003,2.945145845413208,2.331245183944702
860.0,0.001,0.0,128.0,2.0,2.4995133876800537,1.4685900211334229,2.5517971515655518,1.9689350128173828
860.0,0.001,0.0,128.0,3.0,2.6443371772766113,1.6291087865829468,2.551710367202759,1.946862816810608
860.0,0.001,0.0,128.0,4.0,3.0653162002563477,2.1748714447021484,2.774536371231079,2.240671157836914
860.0,0.001,0.0,256.0,2.0,2.7403059005737305,1.4739011526107788,3.0615081787109375,2.41170072555542
860.0,0.001,0.0,256.0,3.0,2.865868330001831,1.933140754699707,3.0894775390625,2.1723265647888184
860.0,0.001,0.0,256.0,4.0,2.8865413665771484,1.7609026432037354,2.452399969100952,1.9256362915039062
860.0,0.001,0.1,64.0,2.0,3.4688611030578613,2.2761306762695312,3.415626049041748,2.770728349685669
860.0,0.001,0.1,64.0,3.0,2.826622724533081,1.7932323217391968,2.6368818283081055,1.9719486236572266
860.0,0.001,0.1,64.0,4.0,3.179441213607788,2.7117862701416016,3.276829242706299,2.602762222290039
860.0,0.001,0.1,128.0,2.0,2.7182769775390625,1.7551908493041992,3.0945472717285156,2.3604748249053955
860.0,0.001,0.1,128.0,3.0,3.314610004425049,2.649693727493286,3.536181926727295,2.75592303276062
860.0,0.001,0.1,128.0,4.0,2.6123180389404297,1.8648788928985596,2.627847909927368,2.053745985031128
860.0,0.001,0.1,256.0,2.0,3.0548861026763916,2.1149649620056152,3.252289295196533,2.4778523445129395
860.0,0.001,0.1,256.0,3.0,3.326383352279663,2.505033016204834,3.2822811603546143,2.5788302421569824
