,seed,lr,n_estimators,rmse,mae
0,860.0,0.05,10.0,0.2575335090520778,0.20455699247472403
1,860.0,0.05,20.0,0.24987071719206205,0.1993945044400552
2,860.0,0.05,30.0,0.24827306558934464,0.19720958370925895
3,860.0,0.05,50.0,0.2704271951009362,0.20805805504024125
4,860.0,0.05,100.0,0.26430177777690955,0.20396360274875472
5,860.0,0.05,150.0,0.26541655736623393,0.20368379081775914
6,860.0,0.1,10.0,0.25513689809962786,0.20343162099566175
7,860.0,0.1,20.0,0.25065363349814496,0.19928103413594658
8,860.0,0.1,30.0,0.26669831280766537,0.20686095669286952
9,860.0,0.1,50.0,0.26781275528739795,0.20578519651771532
10,860.0,0.1,100.0,0.27209092388027944,0.21087104008317845
11,860.0,0.1,150.0,0.27877057543013045,0.21256502115556872
12,860.0,0.25,10.0,0.2513491863967296,0.19990645118604827
13,860.0,0.25,20.0,0.2640551432936842,0.20289131847999017
14,860.0,0.25,30.0,0.2615429605199834,0.20262030455205376
15,860.0,0.25,50.0,0.26841407726868644,0.20900167034754863
16,860.0,0.25,100.0,0.30088110218133196,0.23810545801428895
17,860.0,0.25,150.0,0.3007331671964567,0.23797093897038155
18,860.0,0.5,10.0,0.2579153039440275,0.2002174958225762
19,860.0,0.5,20.0,0.266527802287003,0.20483533953850355
20,860.0,0.5,30.0,0.26706060083523,0.2064990356398378
21,860.0,0.5,50.0,0.3000816126120595,0.23743697463068197
22,860.0,0.5,100.0,0.28360955411872013,0.22549659174618816
23,860.0,0.5,150.0,0.2607930790941547,0.20843237671930917
24,860.0,1.0,10.0,0.2639104769199044,0.20446174735978928
25,860.0,1.0,20.0,0.2994625597373757,0.23681203130115577
26,860.0,1.0,30.0,0.2990078177539635,0.2365127616275139
27,860.0,1.0,50.0,0.2823560197696056,0.22550344793487612
28,860.0,1.0,100.0,0.25847846024897003,0.20593709333361843
29,860.0,1.0,150.0,0.2574319355509074,0.20476198148745725
30,861.0,0.05,10.0,0.44390852766716815,0.29457630449329486
31,861.0,0.05,20.0,0.3981703579030457,0.27747551911796603
32,861.0,0.05,30.0,0.4101137566475318,0.2868710225657836
33,861.0,0.05,50.0,0.4140702603827,0.296101977191765
34,861.0,0.05,100.0,0.3994573990088988,0.2761719970233802
35,861.0,0.05,150.0,0.39584374338498357,0.2759951528793385
36,861.0,0.1,10.0,0.3959252960667799,0.27727748749119535
37,861.0,0.1,20.0,0.4070346203128786,0.2905886596186899
38,861.0,0.1,30.0,0.39561575507654123,0.285039313469241
39,861.0,0.1,50.0,0.3982767758564451,0.2760426487202186
40,861.0,0.1,100.0,0.4214701098737192,0.2902431771096151
41,861.0,0.1,150.0,0.42454115631532835,0.2917668619416209
42,861.0,0.25,10.0,0.4148996171410653,0.29660382562305126
43,861.0,0.25,20.0,0.40015332142311366,0.27925143801033914
44,861.0,0.25,30.0,0.39802946450084303,0.2776283671882507
45,861.0,0.25,50.0,0.41662297872085696,0.28828730247699935
46,861.0,0.25,100.0,0.4154590157614522,0.3125030153854586
47,861.0,0.25,150.0,0.4145721178872711,0.31187789078081435
48,861.0,0.5,10.0,0.3993490431944236,0.28019337989604715
49,861.0,0.5,20.0,0.40180382372073437,0.28379488178327955
50,861.0,0.5,30.0,0.3945503475380794,0.2797501915649741
51,861.0,0.5,50.0,0.41586887484139096,0.31303309257651046
52,861.0,0.5,100.0,0.3553014613838392,0.2650391249783172
53,861.0,0.5,150.0,0.40278921203137646,0.3020375425931995
54,861.0,1.0,10.0,0.39525952022242783,0.27914675074969264
55,861.0,1.0,20.0,0.4157921861571993,0.3128567189264645
56,861.0,1.0,30.0,0.41446975949858,0.3116477282860332
57,861.0,1.0,50.0,0.40254479419341,0.30102990695670295
58,861.0,1.0,100.0,0.3312772569367588,0.25660679167117195
59,861.0,1.0,150.0,0.40688683512525237,0.3043646578145273
60,862.0,0.05,10.0,0.2886385519811574,0.23361309481235426
61,862.0,0.05,20.0,0.2739865179888622,0.22266659060151514
62,862.0,0.05,30.0,0.2752884103396619,0.22428739988450952
63,862.0,0.05,50.0,0.27740868737579605,0.22563725889118666
64,862.0,0.05,100.0,0.2963498694999019,0.24095778386439784
65,862.0,0.05,150.0,0.29753296400909734,0.24198168996937774
66,862.0,0.1,10.0,0.27263426267090063,0.22171217211848346
67,862.0,0.1,20.0,0.2743116015850034,0.2236554349307507
68,862.0,0.1,30.0,0.2804306350656857,0.22792105463915996
69,862.0,0.1,50.0,0.2954905483780067,0.2401620286283746
70,862.0,0.1,100.0,0.2855607268519515,0.2321412875165576
71,862.0,0.1,150.0,0.2801767824389451,0.22740512600040394
72,862.0,0.25,10.0,0.279741330207421,0.2278145631337707
