,seed,target_column,target_instances,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,val_rmse,val_mae,rmse,mae
0,1,Volume,570,MLP,0.0005,0.0001,0.0,True,107.13478,78.43302,106.98346,76.57801
0,1,Volume,570,MLP,0.0005,0.0001,0.0,False,71.8224,49.12206,73.63154,51.7874
0,1,Volume,570,MLP,0.0005,0.0001,0.1,True,107.03137,77.15654,107.26501,76.08959
0,1,Volume,570,MLP,0.0005,0.0001,0.1,False,95.23092,65.59287,98.11126,68.191414
0,1,Volume,570,MLP,0.0005,5e-05,0.0,True,129.69652,98.364395,129.27702,96.595055
0,1,Volume,570,MLP,0.0005,5e-05,0.0,False,69.85558,48.342175,72.02069,50.3635
0,1,Volume,570,MLP,0.0005,5e-05,0.1,True,110.98355,82.12534,111.43983,81.11888
0,1,Volume,570,MLP,0.0005,5e-05,0.1,False,76.804,51.81623,79.50376,54.809902
0,1,Volume,570,MLP,0.0001,0.0001,0.0,True,105.222694,75.77889,105.449356,74.71203
0,1,Volume,570,MLP,0.0001,0.0001,0.0,False,71.54756,48.08777,72.45865,49.92154
0,1,Volume,570,MLP,0.0001,0.0001,0.1,True,116.63033,86.72154,117.892654,85.46997
0,1,Volume,570,MLP,0.0001,0.0001,0.1,False,84.84796,57.72329,86.90247,60.350986
0,1,Volume,570,MLP,0.0001,5e-05,0.0,True,105.02384,75.96908,106.766624,75.6112
0,1,Volume,570,MLP,0.0001,5e-05,0.0,False,70.827194,49.356613,73.720436,51.921993
0,1,Volume,570,MLP,0.0001,5e-05,0.1,True,110.60199,81.27392,110.88777,80.28606
0,1,Volume,570,MLP,0.0001,5e-05,0.1,False,71.27649,47.63626,72.54199,49.307133
0,1,Dgv,570,MLP,0.0005,0.0001,0.0,True,7.5514193,4.992242,7.788642,4.740476
0,1,Dgv,570,MLP,0.0005,0.0001,0.0,False,7.522912,5.300681,7.6749506,5.086858
0,1,Dgv,570,MLP,0.0005,0.0001,0.1,True,7.5501184,5.0087357,7.7517056,4.7251973
0,1,Dgv,570,MLP,0.0005,0.0001,0.1,False,8.309822,6.253599,8.647666,6.0781317
0,1,Dgv,570,MLP,0.0005,5e-05,0.0,True,6.859794,4.4894214,7.148503,4.408105
0,1,Dgv,570,MLP,0.0005,5e-05,0.0,False,7.454878,5.390731,7.6474547,5.32144
0,1,Dgv,570,MLP,0.0005,5e-05,0.1,True,6.8546185,4.5131874,7.0648274,4.3633895
0,1,Dgv,570,MLP,0.0005,5e-05,0.1,False,8.745602,6.4198,8.951476,6.358345
0,1,Dgv,570,MLP,0.0001,0.0001,0.0,True,7.1202884,4.6684246,7.281527,4.4579177
0,1,Dgv,570,MLP,0.0001,0.0001,0.0,False,7.103817,4.912088,7.172048,4.6579976
0,1,Dgv,570,MLP,0.0001,0.0001,0.1,True,7.028568,4.597688,7.2798386,4.4317737
0,1,Dgv,570,MLP,0.0001,0.0001,0.1,False,8.637319,6.371903,9.009232,6.1621375
0,1,Dgv,570,MLP,0.0001,5e-05,0.0,True,6.989239,4.5526333,7.2555785,4.443397
0,1,Dgv,570,MLP,0.0001,5e-05,0.0,False,7.1253753,5.184249,7.3204365,5.153052
0,1,Dgv,570,MLP,0.0001,5e-05,0.1,True,7.3823075,4.902908,7.7354283,4.7008457
0,1,Dgv,570,MLP,0.0001,5e-05,0.1,False,7.975376,5.6563735,8.498181,5.6688137
0,1,Volume,475,MLP,0.0005,0.0001,0.0,True,108.57238,76.17092,108.21251,77.9865
0,1,Volume,475,MLP,0.0005,0.0001,0.0,False,75.56434,48.664436,73.90547,51.176987
0,1,Volume,475,MLP,0.0005,0.0001,0.1,True,104.44818,72.45792,102.48868,73.80151
0,1,Volume,475,MLP,0.0005,0.0001,0.1,False,107.51061,73.94303,104.42089,75.07178
0,1,Volume,475,MLP,0.0005,5e-05,0.0,True,143.1243,109.735756,144.47429,111.86771
0,1,Volume,475,MLP,0.0005,5e-05,0.0,False,75.43442,50.155724,74.230576,52.10428
0,1,Volume,475,MLP,0.0005,5e-05,0.1,True,159.76706,123.80844,160.92863,126.5257
0,1,Volume,475,MLP,0.0005,5e-05,0.1,False,84.35215,56.07896,81.942444,56.79063
0,1,Volume,475,MLP,0.0001,0.0001,0.0,True,138.24286,104.69393,140.17282,107.50885
0,1,Volume,475,MLP,0.0001,0.0001,0.0,False,75.03923,49.95564,76.35523,53.251503
0,1,Volume,475,MLP,0.0001,0.0001,0.1,True,159.3544,122.91528,159.59653,125.09971
0,1,Volume,475,MLP,0.0001,0.0001,0.1,False,110.45022,83.56952,106.442154,81.15914
0,1,Volume,475,MLP,0.0001,5e-05,0.0,True,109.425934,77.29823,109.38482,78.61736
0,1,Volume,475,MLP,0.0001,5e-05,0.0,False,74.75096,50.88107,74.0069,52.622566
