,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,2,Volume,570,LSTransferTreeBoost,0.05,1,1,0.01,0.5,68.16033185572404,47.27574345718014,77.89092593723231,52.4689893620778
0,1,Volume,570,LSTransferTreeBoost,0.05,1,1,0.01,0.5,72.4289663497681,48.0739617271495,70.91279798722809,48.062903567941994
0,2,Volume,570,LSTransferTreeBoost,0.05,1,1,0.01,0.9,68.0028379766342,47.35423961906319,77.15546224354172,51.57893788659504
0,1,Volume,570,LSTransferTreeBoost,0.05,1,1,0.01,0.9,72.32885425756595,47.53831494039949,70.55192289456662,47.52138493888927
0,2,Volume,570,LSTransferTreeBoost,0.05,1,1,0.05,0.5,67.98042446849598,47.04807583793897,77.53363447661819,52.43339269723173
0,1,Volume,570,LSTransferTreeBoost,0.05,1,1,0.05,0.5,72.53459614683398,48.62538550376585,71.37479418215368,48.68355568186239
0,2,Volume,570,LSTransferTreeBoost,0.05,1,1,0.05,0.9,67.95656125067973,47.12320363320286,77.43923936298611,52.204679713334386
0,2,Volume,570,LSTransferTreeBoost,0.05,1,2,0.01,0.5,68.168240662515,47.18869768995721,78.24792910781099,52.49292978149693
0,1,Volume,570,LSTransferTreeBoost,0.05,1,1,0.05,0.9,72.48907628108009,48.330902290413896,71.34374511307425,48.47155179832727
0,1,Volume,570,LSTransferTreeBoost,0.05,1,2,0.01,0.5,72.06832662785979,48.43870359254765,71.3979061762499,48.47773489417146
0,2,Volume,570,LSTransferTreeBoost,0.05,1,2,0.01,0.9,67.9759351221147,47.48905600857378,77.80212079106288,52.40665303892272
0,2,Volume,570,LSTransferTreeBoost,0.05,1,2,0.05,0.5,68.55110861980693,46.48826171786,79.17760679666534,52.655002335552936
0,1,Volume,570,LSTransferTreeBoost,0.05,1,2,0.01,0.9,72.16211850556485,48.32942328915177,71.00172609167831,48.56417715262594
0,2,Volume,570,LSTransferTreeBoost,0.05,1,2,0.05,0.9,68.4734994534675,46.78514525028572,78.88022327288992,52.58316261801682
0,1,Volume,570,LSTransferTreeBoost,0.05,1,2,0.05,0.5,71.73486996715391,48.092413538290664,71.57147362085759,48.73698168531766
0,1,Volume,570,LSTransferTreeBoost,0.05,1,2,0.05,0.9,71.9517338738796,47.86392208444738,71.65611195861408,48.53898503490714
0,2,Volume,570,LSTransferTreeBoost,0.05,2,1,0.01,0.5,68.05109176139572,47.70053795682925,77.37231090145353,52.35076562727815
0,2,Volume,570,LSTransferTreeBoost,0.05,2,1,0.01,0.9,67.69923014834363,47.14152045200237,77.69440603273897,52.11307975786276
0,1,Volume,570,LSTransferTreeBoost,0.05,2,1,0.01,0.5,72.43150283412868,48.2258533859633,70.44563971017503,47.46915663019603
0,2,Volume,570,LSTransferTreeBoost,0.05,2,1,0.05,0.5,68.18393477369428,47.58251580905801,77.34321701357024,52.49534972570434
0,1,Volume,570,LSTransferTreeBoost,0.05,2,1,0.01,0.9,72.51687953916093,48.075194514112034,70.07569382180255,46.87641532981868
0,2,Volume,570,LSTransferTreeBoost,0.05,2,1,0.05,0.9,68.11932986483939,47.67848944031205,77.27772053728737,52.40066432996593
0,2,Volume,570,LSTransferTreeBoost,0.05,2,2,0.01,0.5,67.76360927998071,47.30114860971265,78.12565184285306,52.77531953538584
0,1,Volume,570,LSTransferTreeBoost,0.05,2,1,0.05,0.5,72.25195248040446,48.434932675962905,71.0009539539228,48.476349724556435
0,2,Volume,570,LSTransferTreeBoost,0.05,2,2,0.01,0.9,67.79276553634003,47.342784400104264,77.95329886476127,52.59501714139195
0,2,Volume,570,LSTransferTreeBoost,0.05,2,2,0.05,0.5,68.13306408460987,47.81419894850163,78.36628209048187,53.15466904003397
0,1,Volume,570,LSTransferTreeBoost,0.05,2,1,0.05,0.9,72.26733010226368,48.30605566265176,71.06630855525322,48.149968875296416
0,2,Volume,570,LSTransferTreeBoost,0.05,2,2,0.05,0.9,67.91385241895217,47.55070459870364,78.2359272919316,53.074529220283594
0,1,Volume,570,LSTransferTreeBoost,0.05,2,2,0.01,0.5,71.78705764659313,48.270859203683536,71.07714676943367,48.305085721113265
0,2,Volume,570,LSTransferTreeBoost,0.1,1,1,0.01,0.5,68.27946796829013,47.59593029474658,77.89548528628184,52.4565083331058
0,1,Volume,570,LSTransferTreeBoost,0.05,2,2,0.01,0.9,71.6533012062404,47.83080449560541,70.87024837893374,48.19519861926839
0,2,Volume,570,LSTransferTreeBoost,0.1,1,1,0.01,0.9,67.97767282311695,47.403258767262095,77.45041107540908,51.87044489456277
0,1,Volume,570,LSTransferTreeBoost,0.05,2,2,0.05,0.5,71.51047002586648,47.897634387976645,71.20621667933183,48.57626902735659
0,2,Volume,570,LSTransferTreeBoost,0.1,1,1,0.05,0.5,68.06372731168003,47.223210609184854,77.74387081877634,52.48811455927877
0,2,Volume,570,LSTransferTreeBoost,0.1,1,1,0.05,0.9,68.03901068222135,47.12625338232708,77.40669725737307,51.89078379359514
0,1,Volume,570,LSTransferTreeBoost,0.05,2,2,0.05,0.9,71.64288009460995,47.92208254071964,71.05536727824222,48.50854742774733
0,2,Volume,570,LSTransferTreeBoost,0.1,1,2,0.01,0.5,67.8621098204657,47.289894663561945,78.12694259454251,52.61845014280363
0,1,Volume,570,LSTransferTreeBoost,0.1,1,1,0.01,0.5,72.25602195759527,47.85538544303669,70.9998594478636,47.88082182005243
0,2,Volume,570,LSTransferTreeBoost,0.1,1,2,0.01,0.9,67.99122073316818,47.21374683552332,77.89640189161393,52.333745090623
0,2,Volume,570,LSTransferTreeBoost,0.1,1,2,0.05,0.5,67.9040956599692,47.59682837764017,79.2589430689094,53.37859009607871
0,2,Volume,570,LSTransferTreeBoost,0.1,1,2,0.05,0.9,68.07026432077397,47.03810195963613,78.4382891934753,52.62195589561924
0,1,Volume,570,LSTransferTreeBoost,0.1,1,1,0.01,0.9,72.54814603799885,47.87157095011216,70.6713890889601,47.564658300482755
0,2,Volume,570,LSTransferTreeBoost,0.1,2,1,0.01,0.5,67.97123376003086,47.454825866807916,77.47437659108618,52.17762175281005
0,1,Volume,570,LSTransferTreeBoost,0.1,1,1,0.05,0.5,72.64681146636507,48.60390060130194,71.31666540886266,48.47612936036566
0,1,Volume,570,LSTransferTreeBoost,0.1,1,1,0.05,0.9,72.6142357121636,47.87718297371192,71.02867879490898,48.03832439896051
0,2,Volume,570,LSTransferTreeBoost,0.1,2,1,0.01,0.9,67.4526097527323,47.36634396354139,77.17537518593387,51.96596706391394
0,1,Volume,570,LSTransferTreeBoost,0.1,1,2,0.01,0.5,71.81622892997048,48.53412635859357,71.18732142720738,48.483767870219275
0,2,Volume,570,LSTransferTreeBoost,0.1,2,1,0.05,0.5,68.20938003654092,47.81368209613497,77.2384182689308,52.37221943192118
