,seed,target_instances,d,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,1,100,3,xgboost,0.01,1,1.9936595704735247,1.5896548989838666,2.089807118001639,1.6518055334258424
0,1,100,8,xgboost,0.01,1,1.9936595704735247,1.5896548989838666,2.089807118001639,1.6518055334258424
0,1,100,2,xgboost,0.01,1,1.9936595704735247,1.5896548989838666,2.089807118001639,1.6518055334258424
0,1,100,5,xgboost,0.01,1,1.9936595704735247,1.5896548989838666,2.089807118001639,1.6518055334258424
0,1,100,4,xgboost,0.01,1,1.9936595704735247,1.5896548989838666,2.089807118001639,1.6518055334258424
0,1,100,6,xgboost,0.01,1,1.9936595704735247,1.5896548989838666,2.089807118001639,1.6518055334258424
0,1,100,9,xgboost,0.01,1,1.9936595704735247,1.5896548989838666,2.089807118001639,1.6518055334258424
0,1,100,7,xgboost,0.01,1,1.9936595704735247,1.5896548989838666,2.089807118001639,1.6518055334258424
0,1,100,10,xgboost,0.01,1,1.9936595704735247,1.5896548989838666,2.089807118001639,1.6518055334258424
0,1,100,xgboost_naive_transfer,5,0.01,1,4.088036768293166,3.302169514875255,4.348857957025041,3.5507681878060278
0,1,100,1,xgboost,0.01,1,1.9936595704735247,1.5896548989838666,2.089807118001639,1.6518055334258424
0,1,100,xgboost_naive_transfer,4,0.01,1,4.007208528885918,3.237866474418299,4.263013300428827,3.480108565276924
0,1,100,xgboost_naive_transfer,6,0.01,1,4.240301804856066,3.4173936340701094,4.504783494526127,3.6747628253245153
0,1,100,xgboost_naive_transfer,7,0.01,1,4.510246928263544,3.6300065489738187,4.7752349352687125,3.8954420971880173
0,1,100,xgboost_naive_transfer,8,0.01,1,4.296604097536813,3.4716451172266853,4.554559989514684,3.7260819048774674
0,1,100,xgboost_naive_transfer,10,0.01,1,4.101626954398422,3.3326669072971673,4.318982082140458,3.5222218562746157
0,1,100,xgboost_naive_transfer,9,0.01,1,4.189264824607103,3.394910326105486,4.422884213835696,3.605295481021914
0,1,100,4,xgboost,0.01,2,2.0368875376192004,1.6290276567194817,2.053624143430989,1.6383576956772106
0,1,100,5,xgboost,0.01,2,2.0368875376192004,1.6290276567194817,2.053624143430989,1.6383576956772106
0,1,100,7,xgboost,0.01,2,2.0368875376192004,1.6290276567194817,2.053624143430989,1.6383576956772106
0,1,100,6,xgboost,0.01,2,2.0368875376192004,1.6290276567194817,2.053624143430989,1.6383576956772106
0,1,100,xgboost_naive_transfer,5,0.01,2,4.077470610021002,3.2937369214403653,4.337914701898802,3.5406362405198144
0,1,100,xgboost_naive_transfer,6,0.01,2,4.25458645668298,3.4288689260307734,4.519378019514313,3.6870272523833125
0,1,100,xgboost_naive_transfer,3,0.01,1,2.237953375320253,1.7701172847758297,2.3476300116796063,1.8759572408271332
0,1,100,xgboost_naive_transfer,2,0.01,1,1.84635278481978,1.4564718386366178,1.9407102769849278,1.550456561914803
0,1,100,xgboost_naive_transfer,7,0.01,2,4.4064331138000155,3.551640791737078,4.667217663557826,3.8081074900441965
0,1,100,xgboost_naive_transfer,1,0.01,1,1.559304015176563,1.2330166247363208,1.6148814805244434,1.299858096691361
