,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,3,Dgv,150,LSTransferTreeBoost,0.05,1,1,0.01,0.5,7.174682342239957,5.063705224483539,6.730421307085725,5.005350381582834
0,3,Dgv,150,LSTransferTreeBoost,0.05,1,1,0.01,0.9,7.093735955448387,4.996956740088928,6.650984084823714,4.931082373755054
0,3,Dgv,150,LSTransferTreeBoost,0.05,1,1,0.05,0.5,7.312459967376944,4.92967708279629,6.878489511616609,4.9739430917661425
0,3,Dgv,150,LSTransferTreeBoost,0.05,1,1,0.05,0.9,7.250728341555419,4.896461076828499,6.82764093657937,4.933671420925093
0,3,Dgv,150,LSTransferTreeBoost,0.05,1,2,0.01,0.5,7.288830129823689,5.211565527414245,6.782830321974388,5.046009823029249
0,3,Dgv,150,LSTransferTreeBoost,0.05,1,2,0.01,0.9,7.395922517615544,5.337865720400012,6.907001976894995,5.128676808439533
0,3,Dgv,150,LSTransferTreeBoost,0.05,1,2,0.05,0.5,7.350508013848248,5.125363582669278,6.915365306193949,5.06497762257451
0,3,Dgv,150,LSTransferTreeBoost,0.05,1,2,0.05,0.9,7.3086631330207785,5.125766924977666,6.856536746924399,5.029869547305234
0,3,Dgv,150,LSTransferTreeBoost,0.05,2,1,0.01,0.5,7.114675955750508,4.947370998756554,6.643466091941593,4.887641695875506
0,3,Dgv,150,LSTransferTreeBoost,0.05,2,1,0.01,0.9,7.170497979734309,5.080983455054878,6.735109021200416,4.986617683495162
0,3,Dgv,150,LSTransferTreeBoost,0.05,2,1,0.05,0.5,7.166250884158133,4.86933460626268,6.699736308718283,4.856562864460455
0,3,Dgv,150,LSTransferTreeBoost,0.05,2,1,0.05,0.9,7.097836537402723,4.904636441107659,6.621879232679737,4.848802395355044
0,3,Dgv,150,LSTransferTreeBoost,0.05,2,2,0.01,0.5,7.339228643807773,5.304040012764269,6.897134737304697,5.153344743202238
0,3,Dgv,150,LSTransferTreeBoost,0.05,2,2,0.01,0.9,7.609667052148707,5.5006934184937215,7.2053726467375006,5.3021106668673
0,3,Dgv,150,LSTransferTreeBoost,0.05,2,2,0.05,0.5,7.3485106308372625,5.228556319070666,6.875387043251671,5.098735544635182
0,3,Dgv,150,LSTransferTreeBoost,0.05,2,2,0.05,0.9,7.3463956190199875,5.295177224145301,6.86618978175018,5.121594826044418
0,3,Dgv,150,LSTransferTreeBoost,0.1,1,1,0.01,0.5,7.133513122940535,5.063013463103458,6.647212755514458,4.9437949713421805
0,3,Dgv,150,LSTransferTreeBoost,0.1,1,1,0.01,0.9,7.033056785912106,5.021410948275025,6.5575722008788375,4.850661556781818
0,3,Dgv,150,LSTransferTreeBoost,0.1,1,1,0.05,0.5,7.144028426492904,5.001841113657727,6.665169428154767,4.911575877858684
0,3,Dgv,150,LSTransferTreeBoost,0.1,1,1,0.05,0.9,7.125644364012291,5.060910938934602,6.6568838833153485,4.9367735059242515
0,3,Dgv,150,LSTransferTreeBoost,0.1,1,2,0.01,0.5,7.290540316481025,5.2438547958212345,6.747644482523414,5.019717905825901
0,3,Dgv,150,LSTransferTreeBoost,0.1,1,2,0.01,0.9,10.758734583128268,8.627443140550403,10.290573805516336,8.258057768172499
0,3,Dgv,150,LSTransferTreeBoost,0.1,1,2,0.05,0.5,7.287150603442428,5.145183412718653,6.785506224080155,4.998333196033744
0,3,Dgv,150,LSTransferTreeBoost,0.1,1,2,0.05,0.9,7.3015465913229844,5.255982990577128,6.834721919309114,5.0628846569790795
0,3,Dgv,150,LSTransferTreeBoost,0.1,2,1,0.01,0.5,7.202176490668994,5.138636142987899,6.790022008313338,5.049093087986466
0,3,Dgv,150,LSTransferTreeBoost,0.1,2,1,0.01,0.9,7.195775983003041,5.179241895524716,6.7530847708860975,4.989414234861899
0,3,Dgv,150,LSTransferTreeBoost,0.1,2,1,0.05,0.5,7.113961707219089,4.91174098750194,6.61932970277588,4.841090499954778
0,3,Dgv,150,LSTransferTreeBoost,0.1,2,1,0.05,0.9,7.133879440011566,5.099240192127859,6.674201314986983,4.968472469984514
0,3,Dgv,150,LSTransferTreeBoost,0.1,2,2,0.01,0.5,7.4182946925960325,5.362967600523974,6.9747487026538195,5.188641975092612
0,3,Dgv,150,LSTransferTreeBoost,0.1,2,2,0.01,0.9,7.820460886172738,5.594388546139292,7.4063772448970155,5.4058052243460795
0,3,Dgv,150,LSTransferTreeBoost,0.1,2,2,0.05,0.5,7.357850459186795,5.288609976836688,6.855084205941154,5.10218240016416
0,3,Dgv,150,LSTransferTreeBoost,0.1,2,2,0.05,0.9,7.598430071023044,5.562760088287673,7.0998660520829855,5.259977773110907
0,3,Dgv,301,LSTransferTreeBoost,0.05,1,1,0.01,0.5,6.797904908291233,4.788153216762993,6.301043771829957,4.713359188241411
0,3,Dgv,301,LSTransferTreeBoost,0.05,1,1,0.01,0.9,6.807769978172674,4.89830419724789,6.328695472355841,4.749250149388959
0,3,Dgv,301,LSTransferTreeBoost,0.05,1,1,0.05,0.5,6.809534962910737,4.7430571317622165,6.3121859113727465,4.718209323705619
0,3,Dgv,301,LSTransferTreeBoost,0.05,1,1,0.05,0.9,6.7942304514737355,4.723560335940459,6.29947122544181,4.691962416218517
0,3,Dgv,301,LSTransferTreeBoost,0.05,1,2,0.01,0.5,6.909464732442236,4.917796755251982,6.372179149286881,4.810863812713762
0,3,Dgv,301,LSTransferTreeBoost,0.05,1,2,0.01,0.9,6.858105489969694,4.893441188867823,6.289503705431149,4.740625082401642
0,3,Dgv,301,LSTransferTreeBoost,0.05,1,2,0.05,0.5,6.963333269428251,4.928635966987549,6.418773195059676,4.825614016659189
0,3,Dgv,301,LSTransferTreeBoost,0.05,1,2,0.05,0.9,6.951351615314269,4.881207770593136,6.3984344670134865,4.77894646384539
0,3,Dgv,301,LSTransferTreeBoost,0.05,2,1,0.01,0.5,6.7870571689787305,4.785679255964364,6.296658460226257,4.699301727510787
0,3,Dgv,301,LSTransferTreeBoost,0.05,2,1,0.01,0.9,6.812411195462169,4.91864296074014,6.313089475658198,4.730607237682703
0,3,Dgv,301,LSTransferTreeBoost,0.05,2,1,0.05,0.5,6.814588533867137,4.7639490225942165,6.329626621102723,4.743990784382243
0,3,Dgv,301,LSTransferTreeBoost,0.05,2,1,0.05,0.9,6.790381087667811,4.760989111760125,6.308240824110695,4.718206951398373
0,3,Dgv,301,LSTransferTreeBoost,0.05,2,2,0.01,0.5,6.942532906338077,4.911997265925811,6.393155094574132,4.798871907616616
0,3,Dgv,301,LSTransferTreeBoost,0.05,2,2,0.01,0.9,6.94517560774629,4.984466287396645,6.414111507479754,4.818764342600293
0,3,Dgv,301,LSTransferTreeBoost,0.05,2,2,0.05,0.5,6.997562671593051,4.907749798776677,6.483103031186496,4.845516458441865
0,3,Dgv,301,LSTransferTreeBoost,0.05,2,2,0.05,0.9,6.97409770445243,4.863737451803749,6.426172705523193,4.7823911606084355
0,3,Dgv,301,LSTransferTreeBoost,0.1,1,1,0.01,0.5,6.8078778498478165,4.843675597841368,6.310053383491815,4.733128855713878
0,3,Dgv,301,LSTransferTreeBoost,0.1,1,1,0.01,0.9,6.806479089826317,4.932656177716735,6.32833293433605,4.73864739183792
0,3,Dgv,301,LSTransferTreeBoost,0.1,1,1,0.05,0.5,6.806555170574424,4.725029643241678,6.302887370001319,4.698295639438125
