,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,10,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.660279943188378,2.003396174326825,2.618653895024594,1.9483123506797946
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.9026453798050804,2.1747243066601167,2.8736694468862876,2.157426223368154
0,9,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.8197262135281878,2.0556317133567186,2.5747434509405203,1.9460360163304424
0,7,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.8895763741312384,2.165621140873618,2.9056538729933172,2.2292321867024083
0,10,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.614331926493035,1.9605788051910642,2.564272617959162,1.910320489888536
0,3,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.960444576341914,2.145369944982878,2.6486944580964162,1.9215188379708845
0,8,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.6840736875423716,2.0564019441852666,2.6995315759720797,2.03454454394373
0,4,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.6455659541246854,1.9613431966798225,2.7307617490491434,2.0885960356109265
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.8163736151290037,2.1364824322481004,2.809594750861373,2.119099625605103
0,10,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.1586228188409358,2.406335215855488,3.1418024158241447,2.3985716940129285
0,9,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.725233270437,2.024173136834166,2.4398335136379057,1.8416217717397954
0,3,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.7326629936142304,1.97529416102479,2.4524557933922826,1.7827100806489575
0,10,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,2.950149359329096,2.2406943701464015,2.9402059748118354,2.226496128426578
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.396048126306101,1.7924865687909302,2.568011202260066,1.9424772258642562
0,9,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.318434477290087,2.47330044471903,3.207939854493532,2.500314083993095
0,10,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.7602692962655664,2.0892436720312597,2.64711820596913,2.0044644949911197
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.447598675769925,2.648699787470861,3.40379535046969,2.6309923798003836
0,8,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.5683925012906124,1.9593119664076655,2.604628035892342,1.9580359937808527
0,3,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.784348515933736,2.849882034694671,3.444441060549382,2.637845512322626
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.6375834611877664,1.9823514536396172,2.6581713081977183,2.03226918109851
0,4,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.5182046139564442,1.8747346922428445,2.6125142058206547,1.971670653230472
0,7,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.659963117235282,1.975238148445269,2.696875741065116,2.047271749064041
0,3,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,3.5178162296861206,2.6415690439582753,3.2368174779622314,2.470408618358165
0,10,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.676929733210992,2.0205318940321204,2.60354666810256,1.9491330467882315
0,4,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.6857418150210677,2.8337551105110954,3.8475765404585553,2.977674128208907
0,9,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,3.144211204152959,2.3263649513382436,2.9882694605665003,2.323186385318044
0,7,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.789252903232559,2.951652754280699,3.9613728263696917,3.1936574671592863
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,3.2587143960703777,2.4729966516730717,3.2233917113946595,2.455315306483913
0,3,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,3.1067293162363923,2.238907350125475,2.772187144501632,1.9911269701106495
0,4,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,3.342560927977054,2.545508054031351,3.510016794421066,2.697132972129915
0,10,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.237016106830549,2.520477511969841,3.1556630115188633,2.439960757982616
0,10,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,2.964981487035103,2.277090316172296,2.893842829146139,2.2172335183368514
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.598991092116562,1.9398248925432129,2.591817354635198,1.9807574043542986
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.9657899896589908,2.2482459461391975,2.895946723553104,2.2041488964679976
0,7,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,3.4976882618955214,2.681468960051989,3.6326561909302306,2.8989845147141473
0,9,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.9299990801207225,2.1406987270546565,2.6380446451958868,1.9735053841487342
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.3421952431285225,1.7604436302311746,2.460050641091211,1.8402845346353336
0,5,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.9298245269186243,2.1753320789616786,2.7429085637048853,2.063230455701392
0,3,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.8068578000651,2.0288524227881717,2.4998634882484776,1.813475123075074
0,4,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.7339644154768883,2.019396005142243,2.902946105159678,2.1910473983053227
0,10,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.6158942845576005,1.9561823028645962,2.5862562682590258,1.8997270708253569
0,3,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.729033491981146,2.7865208648363544,3.39359012148178,2.546314016444603
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.8772702123275167,2.18478139732407,2.8287987709292914,2.145471354667598
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.4544354838368756,2.7452019393123197,3.8412915605171163,3.1421383702401458
0,3,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,3.4686155300226966,2.556716902632074,3.1542833907406007,2.3406349417990477
0,7,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.9143631223353808,2.2016057691984554,2.9287687730577185,2.2669903688835573
0,4,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.593499451140925,1.9370623563399474,2.7224453056838858,2.0730555136101505
0,10,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.613375427579515,1.977385878445722,2.5389426392564927,1.9022409780512992
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.262378184839736,2.446843363030183,3.3307691318683172,2.5066779652386177
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.4581773700307497,2.661034359977828,3.4369173953019203,2.6503517836100343
0,8,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,3.105846024543172,2.4229354189084247,3.1006984110996227,2.347708394207007
0,4,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.5380705929927827,2.714947158955996,3.777750340306284,2.9718953741663428
0,9,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.752350817228648,2.0416153016036986,2.450033158049197,1.8636631978498266
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,3.1496614973580837,2.4565387676688846,3.491089903069595,2.800999784929508
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,3.1295933757349403,2.342476131974613,3.1962363169258197,2.4375856094625
0,1,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,3.2902717606823533,2.497442788191871,3.254775805552607,2.477116227780685
0,4,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,3.237026324932861,2.458049453374903,3.4607624882732617,2.6891793538463395
0,9,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.460524754471566,2.56960903614275,3.296776230288239,2.5803853058631465
0,7,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.7584276108321135,2.062085238809045,2.783327425782789,2.1207423296208976
0,3,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.8345237332923348,2.0288375980294164,2.515394897003738,1.8089239651892717
0,10,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.5,3.1108693612820093,2.358728087773095,3.148474861282175,2.4102229480366764
0,9,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,3.278906007058616,2.4162874579568236,3.0864545849325076,2.392308411287499
0,5,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.859069971847616,2.102718823175218,2.6749929183071983,2.027638095221094
0,7,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.6390858988332946,2.823422154495487,3.7657823558620667,3.0410435314144713
0,1,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.7842301015564184,2.089016310301708,2.7844011545939464,2.074745717089761
0,3,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.6873924206202084,1.928572140274001,2.3841183543348263,1.732742647341135
0,10,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.83095453127568,2.1309471086744285,2.8249789923106943,2.1270001552299145
0,7,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,3.3361116742458417,2.5334565139209118,3.445732414399264,2.7208311977787094
0,5,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,4.122947514831564,3.2072819927458984,3.8148582601795655,3.005271994042161
0,9,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.7783041872610608,2.032720343325323,2.508058803662256,1.8822003341192421
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.7043633775951266,2.0300226662933154,2.72243179206854,2.0486008261921334
0,4,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.5545997713599213,1.8880501791562678,2.6420208754909646,2.012545897900342
0,1,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.6901607104793417,2.0516643013125266,2.7404454740676516,2.0641920032941723
0,10,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.7214142077873706,2.0512694717772497,2.6267624304691055,1.9828348154075
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.4244249015776695,1.8222888796292742,2.6235755708267656,1.9813304058691559
0,5,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,3.8362302086749698,2.934951264358532,3.530315145324883,2.731762464178155
0,10,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.9,2.591807918671574,1.9462146231748882,2.491931655168135,1.8599345442617932
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.631791973935883,1.9767090372566398,2.649358384845289,2.0341631131297278
0,9,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.680638885288995,1.9872385569074231,2.404649040991566,1.8089012458924363
0,8,Hgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,2.948776441770836,2.285158631191262,2.936964661826216,2.2095748089418703
0,4,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.457480527702546,1.8115723025885677,2.5306175537764095,1.9019173636981161
0,10,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.5,3.7019258947250755,2.9557923662565733,3.7961009993208097,3.098129045574649
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.21887562997459,2.4497972370255887,3.2926050437983143,2.4908791492917906
0,7,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.4921859219266795,1.8447701232128226,2.554460158309508,1.925082052287104
0,8,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.7437645462706755,2.1105673999920227,2.7576072784827312,2.0848656177676474
0,10,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.9,2.896006083255718,2.2000994152930624,2.804006430565528,2.129134708005487
0,6,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,3.0264759230904454,2.300641893189305,3.0958844046202127,2.346485984299698
0,1,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.5,3.301931625696064,2.501040019729291,3.263770644590819,2.4532529371627882
0,10,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.6256884923255512,1.9698438876613213,2.560242466675756,1.899029359341069
0,1,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.9,4.078136070033177,3.1279320465068037,4.072855503540506,3.086826683662772
0,10,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.656335080085313,1.9996157529242529,2.578292180986087,1.9236896069100806
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.3472595632165394,1.7650485849385011,2.477633612498311,1.870099838765237
0,10,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.902740034729491,2.202469236525517,2.857966027591974,2.159743501232813
0,5,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,3.017219482978773,2.2306486872788884,2.800896334288061,2.0938072065232207
0,10,Hgv,95,LSTransferTreeBoost,0.1,1,1,0.05,0.9,2.7057709160652728,2.040852552569468,2.665307766589387,1.9929725777975833
0,7,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.4195811808876377,1.7710207305963506,2.479926684412247,1.8543687386819931
0,10,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.01,0.5,2.7193183955827873,2.0518489389536994,2.595617062463096,1.9543267660226669
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.462711808461646,2.740931187815012,3.760992763797787,3.0559734738316995
0,8,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.674705474726659,2.053350774625419,2.6981710816372235,2.04218143833291
0,1,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.9102683385937973,2.1974798005157283,2.8366884898275795,2.142894401044745
0,6,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.6150762598650443,1.9319724968054495,2.612214023969033,1.9616054318897127
0,10,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.01,0.9,2.6929808171923026,2.0346450012407526,2.6119799752484467,1.9502994490667396
0,9,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.5,3.0908108194703527,2.2527501070687546,2.9088174404875287,2.228947288142571
0,10,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.05,0.5,2.948142725136729,2.250750177770343,2.832875120611173,2.150261801713789
0,2,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,3.1099022655295445,2.4096657893918727,3.374971500811155,2.68200926087737
0,10,Hgv,95,LSTransferTreeBoost,0.1,1,2,0.05,0.9,2.782566257964771,2.1059775150434334,2.663307014566318,2.0132597265569965
0,8,Hgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,3.157493599994856,2.4944420106591,3.084630307762076,2.35486447071911
0,7,Hgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.5,4.488004827192954,3.518211172252091,4.636368765510568,3.603378536581178
0,10,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.01,0.5,2.5994822362364465,1.9488342888103627,2.5434979631003443,1.871729177110734
0,1,Hgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.9,2.9265311816359008,2.239300126091644,2.915957906486656,2.2237881398684767
0,10,Hgv,95,LSTransferTreeBoost,0.1,2,1,0.01,0.9,2.6621939923562317,1.9909003570283506,2.5393573029795022,1.8869241348556591
