,seed,target_column,train_size_,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,2,Volume,190,TradaBoostR2,10,0.1,1,81.94403237585006,58.50133000869729,86.29526203140313,58.093229148882166
0,1,Volume,95,TradaBoostR2,10,0.1,1,94.43585069146435,66.931141655797,97.53492942361491,65.19363614231226
0,3,Volume,95,TradaBoostR2,10,0.1,1,326.6953721985498,86.54162320005233,106.22919150643007,68.30107829171601
0,2,Volume,95,TradaBoostR2,10,0.1,1,87.16626436534605,60.46029698833149,91.6039002941687,61.30943199598711
0,3,Volume,285,TradaBoostR2,10,0.1,1,184.8720285280936,65.54931680604304,82.27953901717082,57.811578854060485
0,3,Volume,380,TradaBoostR2,10,0.1,1,114.53973597060155,65.02788749426873,95.94004903770173,62.90779656817152
0,1,Volume,285,TradaBoostR2,10,0.1,1,101.02136985634402,64.42654487572956,89.74346848259293,60.445791121188414
0,2,Volume,475,TradaBoostR2,10,0.1,1,84.00494511614394,56.697916623302184,108.56078785398014,61.096117467024875
0,2,Volume,285,TradaBoostR2,10,0.1,1,76.27730872135241,54.83034288661181,84.06339383873267,57.33871850391438
0,1,Volume,665,TradaBoostR2,10,0.1,1,84.28634392009873,58.472617465758596,89.79076706583804,57.99850963180702
0,1,Volume,190,TradaBoostR2,10,0.1,1,89.08648044886988,62.15695588634875,92.41171292134916,61.430411398572204
0,2,Volume,380,TradaBoostR2,10,0.1,1,310.20407048578585,76.85619075390096,106.3717135782672,65.7313746544403
0,1,Volume,950,TradaBoostR2,10,0.1,1,79.91880439420633,54.639241155515144,73.83545711939931,51.85635709016737
0,1,Volume,570,TradaBoostR2,10,0.1,1,89.45670380421811,60.48830117031195,95.78651062779906,59.252935089217374
0,2,Volume,950,TradaBoostR2,10,0.1,1,70.25121095196624,50.02985074009331,82.99918490409985,52.22405680088755
0,1,Volume,475,TradaBoostR2,10,0.1,1,93.96369946908969,63.15915813655185,102.41445016256621,61.90680821739245
0,3,Volume,190,TradaBoostR2,10,0.1,1,233.48064327869474,80.03783542971927,172.9905212651124,78.32600788944052
0,1,Volume,380,TradaBoostR2,10,0.1,1,108.66848949228884,66.70357985138905,94.73647354250822,61.57401456814543
0,2,Volume,760,TradaBoostR2,10,0.1,1,73.96267127082196,51.53366339804167,87.33646024749766,53.08673998964626
0,2,Volume,665,TradaBoostR2,10,0.1,1,73.0291535594635,51.14718750444504,83.85050346474709,53.33581335397819
0,3,Volume,475,TradaBoostR2,10,0.1,1,87.94546627151783,58.24310938266458,79.38997966142303,55.58974215881021
0,1,Volume,855,TradaBoostR2,10,0.1,1,81.31538830183455,55.64328062894182,75.37610568671043,52.69055780370665
0,1,Volume,760,TradaBoostR2,10,0.1,1,86.15270059208679,58.013977676153836,85.26442248614957,56.6016670970286
0,2,Volume,570,TradaBoostR2,10,0.1,1,76.62075076186042,52.952324741115234,92.75323717630694,54.88147883765814
0,2,Volume,855,TradaBoostR2,10,0.1,1,75.88932503864362,51.97720902171067,88.5106779888711,53.27864685111209
0,1,Volume,95,TradaBoostR2,10,0.1,2,168.08877648571027,104.08521545966815,246.6529612636818,116.26797436731144
0,3,Volume,285,TradaBoostR2,10,0.1,2,225.76359794587682,82.18518627147506,125.3163203653112,73.04362128155472
0,2,Volume,190,TradaBoostR2,10,0.1,2,101.84456521811482,69.51653398113415,113.63633224370136,71.7501315881132
0,1,Volume,285,TradaBoostR2,10,0.1,2,212.72659727308252,108.3045322444552,304.4800271588428,124.74234435200519
0,2,Volume,95,TradaBoostR2,10,0.1,2,119.10944691817825,73.09937794357492,163.2247155627681,78.45842337883688
0,3,Volume,95,TradaBoostR2,10,0.1,2,550.3419409865718,215.88727834693634,444.2980816573743,209.97657801060637
0,3,Volume,380,TradaBoostR2,10,0.1,2,106.50131561946274,64.73332191933932,86.0883296256706,59.054374216832876
0,2,Volume,285,TradaBoostR2,10,0.1,2,143.3715595605838,80.27506725664045,181.1974056913789,93.37386005392635
0,1,Volume,190,TradaBoostR2,10,0.1,2,204.65862067367755,105.976816278241,245.5671210200262,116.55476932759345
0,2,Volume,475,TradaBoostR2,10,0.1,2,92.26342542364976,60.441491065491924,95.52766546529855,58.04550516092869
0,1,Volume,665,TradaBoostR2,10,0.1,2,91.8339936182054,60.25695147550851,106.37238368301679,62.162982377507305
0,2,Volume,380,TradaBoostR2,10,0.1,2,372.84211399701985,81.34652621204849,125.64360031380035,73.1273801130128
0,1,Volume,950,TradaBoostR2,10,0.1,2,85.63235902180278,56.74290581320662,71.44981502170934,51.40971442044362
0,3,Volume,190,TradaBoostR2,10,0.1,2,730.5893412962231,159.3150147989527,243.7703392975474,125.90141830509123
0,1,Volume,570,TradaBoostR2,10,0.1,2,89.0057784945258,59.73599288368014,91.5052303781195,57.09863758031549
0,1,Volume,380,TradaBoostR2,10,0.1,2,98.32414249812493,65.71721662073105,100.82025277532607,62.15208998841322
0,1,Volume,475,TradaBoostR2,10,0.1,2,301.33276872113163,117.47532002589675,249.14366004457952,99.7540690462983
0,2,Volume,665,TradaBoostR2,10,0.1,2,79.32117301016076,54.150880938747264,161.12720272848597,62.803881645535185
0,2,Volume,570,TradaBoostR2,10,0.1,2,91.49367729932715,58.33657389614537,97.1978092757994,60.840049099672314
0,2,Volume,950,TradaBoostR2,10,0.1,2,74.87327051243042,52.59503119358281,76.3688739736649,51.19998523023855
