,seed,method,v,source_tree_size,target_tree_size,m_0,k,val_rmse,val_mae,rmse,mae
0,2,LSTransferTreeBoost,0.05,1,1,0.5,0.01,1.5217284247243579,1.207679089664509,1.4519732561704168,1.1631936164772396
1,2,LADTransferTreeBoost,0.05,1,1,0.5,0.01,1.4569784362596416,1.146363795878019,1.3853767088613809,1.0920191324021444
2,2,LSTransferTreeBoost,0.05,1,1,0.9,0.01,1.5418458006337117,1.223693399895997,1.4675850970380107,1.1748310871390564
3,2,LADTransferTreeBoost,0.05,1,1,0.9,0.01,1.358968075572545,1.0711707400748391,1.3141926723810617,1.0496995421650412
4,2,LSTransferTreeBoost,0.05,1,1,0.5,0.05,1.5464061580320356,1.2273749980396877,1.470160764309918,1.177058054609067
5,2,LADTransferTreeBoost,0.05,1,1,0.5,0.05,1.3566545812838942,1.0679228146956756,1.3017581655523462,1.0391357909071839
6,2,LSTransferTreeBoost,0.05,1,1,0.9,0.05,1.5251096579984158,1.2087191760497207,1.4537818694162228,1.1624325778687394
7,2,LADTransferTreeBoost,0.05,1,1,0.9,0.05,1.3895646026464121,1.087599393617883,1.329486086520022,1.053997435301933
8,2,LSTransferTreeBoost,0.05,1,2,0.5,0.01,1.4465959609414352,1.1441452648243609,1.4063955475741818,1.112243495952734
9,2,LADTransferTreeBoost,0.05,1,2,0.5,0.01,1.279753728745177,1.0122327274417362,1.2864080921111796,1.01899035577633
10,2,LSTransferTreeBoost,0.05,1,2,0.9,0.01,1.448859411278596,1.1476154122258224,1.4072162445483238,1.1113105786367439
11,2,LADTransferTreeBoost,0.05,1,2,0.9,0.01,1.286430227934014,1.0105083849845178,1.2838015407888934,1.0069145499430483
12,2,LSTransferTreeBoost,0.05,1,2,0.5,0.05,1.4879249598744742,1.1794143428232884,1.4512585613707276,1.1487459375320268
13,2,LADTransferTreeBoost,0.05,1,2,0.5,0.05,1.2729965019327771,1.0034793264140116,1.2672952707911627,0.9949435938730251
14,2,LSTransferTreeBoost,0.05,1,2,0.9,0.05,1.4660712132475002,1.156323509656735,1.4271756969788514,1.1263284493017414
15,2,LADTransferTreeBoost,0.05,1,2,0.9,0.05,1.270626806282055,1.0116402265760667,1.2791021817611485,1.0130855979288382
16,2,LSTransferTreeBoost,0.05,2,1,0.5,0.01,1.5217284247243579,1.207679089664509,1.4519732561704168,1.1631936164772396
17,2,LADTransferTreeBoost,0.05,2,1,0.5,0.01,1.450306534312605,1.1415232216721847,1.380663154478647,1.0890546228687095
