,seed,target_instances,d,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,1,100,1,xgboost,0.01,1,1.9936595704735247,1.5896548989838666,2.089807118001639,1.6518055334258424
1,1,100,1,xgboost_naive_transfer,0.01,1,1.559304015176563,1.2330166247363208,1.6148814805244434,1.299858096691361
2,1,100,1,xgboost,0.01,2,2.0368875376192004,1.6290276567194817,2.053624143430989,1.6383576956772106
3,1,100,1,xgboost_naive_transfer,0.01,2,0.9487057948896854,0.7401164054366012,0.9410343972051741,0.756132106311566
4,1,100,1,xgboost,0.01,3,2.2233555465723334,1.7794160277616122,2.29215243779715,1.830687934469017
5,1,100,1,xgboost_naive_transfer,0.01,3,0.9319004514402295,0.736169228820798,0.8912977880543383,0.7045327937382118
6,1,100,1,xgboost,0.01,4,2.438696034693717,1.9305717686998678,2.372556666562644,1.8949812684028
7,1,100,1,xgboost_naive_transfer,0.01,4,0.9903847631298905,0.7818867765727203,0.9378248176003195,0.7392696064817511
8,1,100,1,xgboost,0.02,1,1.9493533218495427,1.5545124354185702,2.05078804636983,1.615607345080961
9,1,100,1,xgboost_naive_transfer,0.02,1,1.1226272209057386,0.8900101338947927,1.1634788780359338,0.9390703768732465
10,1,100,1,xgboost,0.02,2,2.0358238919420075,1.6280509686647904,2.048555626047101,1.6334103338721133
11,1,100,1,xgboost_naive_transfer,0.02,2,0.8823134254367283,0.6887111745650302,0.8717561922820077,0.7007484521495203
12,1,100,1,xgboost,0.02,3,2.1737702500159872,1.7428360955356104,2.238408285236944,1.7955936727792383
13,1,100,1,xgboost_naive_transfer,0.02,3,0.9375470485139484,0.7396210880685264,0.8989441010626991,0.7093287602620282
14,1,100,1,xgboost,0.02,4,2.359724050613225,1.8834351958457427,2.314747767663337,1.856662293921206
15,1,100,1,xgboost_naive_transfer,0.02,4,0.9784286712737393,0.7737698719692295,0.9286919434533544,0.7311078065709019
16,1,100,1,xgboost,0.05,1,1.9122798231900016,1.5272558381665495,2.0206412905824274,1.5858437861672119
17,1,100,1,xgboost_naive_transfer,0.05,1,1.0209986311072905,0.8092546672987427,1.0595339772724945,0.854653179565689
18,1,100,1,xgboost,0.05,2,2.026884138595622,1.6197576631160782,2.0565240260052478,1.6394571278683912
19,1,100,1,xgboost_naive_transfer,0.05,2,0.904380896216788,0.702862840543839,0.8790811748144839,0.7075358274573857
20,1,100,1,xgboost,0.05,3,2.189023129023514,1.7550286079702195,2.2365374604238895,1.7866748028064072
21,1,100,1,xgboost_naive_transfer,0.05,3,0.9242150090060626,0.7288913482925827,0.8833065251439765,0.6976319572696691
22,1,100,1,xgboost,0.05,4,2.368627994430958,1.8919029756253312,2.3327028161321026,1.8593786069770821
23,1,100,1,xgboost_naive_transfer,0.05,4,0.9811698431128089,0.7782814012854824,0.919619030991855,0.728523418071739
24,1,100,1,xgboost,0.1,1,1.9201231438867106,1.5293836875925595,2.0277993174936046,1.5982809783699363
25,1,100,1,xgboost_naive_transfer,0.1,1,1.0308880353361434,0.8168347155552907,1.0670342651089724,0.8617844724136774
26,1,100,1,xgboost,0.1,2,2.028753990084244,1.6148934743168015,2.0555004059857533,1.6366485442546386
27,1,100,1,xgboost_naive_transfer,0.1,2,0.8996655178473558,0.7009391994046851,0.8819693769485608,0.7036317432057911
